,county,pop_total,unemployment_rate,income,temp
0,"Baldwin County, Alabama",231767,0.055,50254,76.8
1,"Calhoun County, Alabama",116441,0.076,41703,72.1
2,"Cullman County, Alabama",87866,0.047,38971,71.6
3,"DeKalb County, Alabama",71608,0.047,38192,69.6
4,"Elmore County, Alabama",87977,0.0279999999999999,53555,74.4
5,"Etowah County, Alabama",103436,0.063,39220,71.9
6,"Houston County, Alabama",107202,0.062,41571,76.5
7,"Jefferson County, Alabama",674721,0.048,45610,73.0
8,"Lauderdale County, Alabama",93564,0.043,43125,72.0
9,"Lee County, Alabama",174241,0.037,44570,72.7
10,"Limestone County, Alabama",103570,0.046,49570,71.1
11,"Madison County, Alabama",388153,0.035,57993,71.0
12,"Marshall County, Alabama",97612,0.022,38983,71.4
13,"Mobile County, Alabama",414809,0.054,43809,76.7
14,"Montgomery County, Alabama",228954,0.0559999999999999,44369,75.1
15,"Morgan County, Alabama",123421,0.057,45751,71.4
16,"St. Clair County, Alabama",91103,0.05,51859,72.6
17,"Shelby County, Alabama",223024,0.033,70187,73.1
18,"Talladega County, Alabama",82149,0.094,35155,72.9
19,"Tuscaloosa County, Alabama",227036,0.047,46565,73.4
20,"Walker County, Alabama",65342,0.06,35843,72.4
21,"Anchorage Municipality, Alaska",291247,0.054,78326,39.6
22,"Fairbanks North Star Borough, Alaska",95655,0.035,71068,39.2
23,"Matanuska-Susitna Borough, Alaska",107081,0.065,72983,37.9
24,"Apache County, Arizona",66021,0.075,31757,65.2
25,"Cochise County, Arizona",125447,0.049,45075,72.3
26,"Coconino County, Arizona",145101,0.085,50234,68.3
27,"Maricopa County, Arizona",4420568,0.044,54229,84.7
28,"Mohave County, Arizona",213267,0.051,38488,77.8
29,"Navajo County, Arizona",106717,0.099,35921,67.3
30,"Pima County, Arizona",1043433,0.055,46162,80.5
31,"Pinal County, Arizona",425264,0.052,49477,81.9
32,"Yavapai County, Arizona",236209,0.044,44748,73.5
33,"Yuma County, Arizona",203881,0.148,40743,87.7
34,"Benton County, Arkansas",284333,0.021,56239,73.0
35,"Craighead County, Arkansas",111231,0.061,42475,73.4
36,"Faulkner County, Arkansas",123498,0.022,51223,74.8
37,"Garland County, Arkansas",100180,0.037,38733,74.6
38,"Jefferson County, Arkansas",67260,0.062,36747,75.4
39,"Lonoke County, Arkansas",74015,0.027,53631,75.2
40,"Pulaski County, Arkansas",399125,0.036,46140,75.2
41,"Saline County, Arkansas",123416,0.043,55817,74.9
