,id,county,median_income,temp,total_population,elev_in_ft,employed_population_over16,18_24_college_grad_enroll,median_gross_rent_dollars,employed,unemployed,percent_insured,mean_hours_worked,median_age_workers_16_to_64,mean_travel_time_to_work_min,perc_pop_25plus_bach_or_higher,perc_k_12_enrollment,label
0,0500000US01001,"Autauga County, Alabama",51281,75.2,58805,313.14285710000007,24522,1441,986,23144,860,92.9,40.5,40.2,24.4,26.6,75.3,128
1,0500000US01003,"Baldwin County, Alabama",50254,76.8,231767,82.0909699,95091,4305,1020,86000,3705,91.1,39.4,42.0,26.9,31.9,76.2,128
2,0500000US01005,"Barbour County, Alabama",32964,74.3,25223,393.04411760000005,8413,428,576,7453,774,88.7,38.8,40.7,22.4,11.6,78.0,21
3,0500000US01007,"Bibb County, Alabama",38678,73.3,22293,391.2739212,8387,289,734,7889,590,89.3,40.0,41.8,29.7,10.4,81.9,149
4,0500000US01009,"Blount County, Alabama",45813,72.1,59134,731.4852071,21917,1129,667,20621,708,89.2,41.0,41.3,34.4,13.1,79.7,169
5,0500000US01011,"Bullock County, Alabama",31938,73.9,10357,426.8285078,4319,26,654,3946,167,88.6,41.1,42.5,27.2,12.1,81.5,21
6,0500000US01013,"Butler County, Alabama",32229,75.8,19051,370.1439842,7930,420,620,7346,540,91.3,39.5,39.3,23.7,16.1,80.1,159
7,0500000US01015,"Calhoun County, Alabama",41703,72.1,116441,725.8904593999998,47896,4473,716,44453,3547,90.5,39.7,38.9,25.0,18.5,67.1,54
8,0500000US01017,"Chambers County, Alabama",34177,71.8,34772,713.1595197,14877,934,749,13756,590,89.7,39.8,39.8,23.7,13.3,70.7,147
9,0500000US01019,"Cherokee County, Alabama",36296,70.9,24971,713.907767,9980,446,620,9314,448,91.4,39.9,42.6,29.5,12.8,80.5,130
10,0500000US01021,"Chilton County, Alabama",41627,73.7,45014,541.8583332999998,17526,775,726,16202,1115,87.0,39.9,40.4,32.1,12.7,78.3,54
11,0500000US01023,"Choctaw County, Alabama",33536,75.0,12665,170.2510885,4173,344,525,3719,344,89.7,40.6,40.3,34.5,11.9,76.3,21
12,0500000US01025,"Clarke County, Alabama",32011,75.4,23087,200.944645,7770,527,555,7137,966,90.3,41.4,43.0,26.6,12.2,73.3,159
13,0500000US01027,"Clay County, Alabama",35327,71.5,14236,1023.959701,5527,206,535,5069,299,89.7,37.8,41.0,29.1,10.6,83.0,147
14,0500000US01029,"Cleburne County, Alabama",38056,70.6,15056,1046.911162,5707,275,585,5276,303,87.7,40.0,40.5,34.0,15.4,80.2,56
15,0500000US01031,"Coffee County, Alabama",46729,75.8,53465,313.4752066000001,21907,1024,803,20020,1226,90.2,39.9,40.5,22.7,22.8,74.1,49
16,0500000US01033,"Colbert County, Alabama",40576,72.4,57227,548.9296578,22832,1259,697,21128,924,92.8,39.2,40.7,23.4,18.1,76.5,54
17,0500000US01035,"Conecuh County, Alabama",24900,76.6,11597,311.3261391000001,4232,77,536,3853,424,87.3,39.6,41.3,27.9,12.8,83.6,187
