,county,median_income,temp,total_population,elev_in_ft
0,"Autauga County, Alabama",51281,75.2,58805,313.1428571428572
1,"Baldwin County, Alabama",50254,76.8,231767,82.09096989966555
2,"Barbour County, Alabama",32964,74.3,25223,393.0441176470589
3,"Bibb County, Alabama",38678,73.3,22293,391.27392120075046
4,"Blount County, Alabama",45813,72.1,59134,731.4852071005918
5,"Bullock County, Alabama",31938,73.9,10357,426.8285077951002
6,"Butler County, Alabama",32229,75.8,19051,370.14398422090727
7,"Calhoun County, Alabama",41703,72.1,116441,725.8904593639576
8,"Chambers County, Alabama",34177,71.8,34772,713.1595197255575
9,"Cherokee County, Alabama",36296,70.9,24971,713.9077669902913
10,"Chilton County, Alabama",41627,73.7,45014,541.8583333333333
11,"Choctaw County, Alabama",33536,75.0,12665,170.2510885341074
12,"Clarke County, Alabama",32011,75.4,23087,200.94464500601688
13,"Clay County, Alabama",35327,71.5,14236,1023.9597014925372
14,"Cleburne County, Alabama",38056,70.6,15056,1046.9111617312074
15,"Coffee County, Alabama",46729,75.8,53465,313.47520661157023
16,"Colbert County, Alabama",40576,72.4,57227,548.9296577946768
17,"Conecuh County, Alabama",24900,76.6,11597,311.326139088729
18,"Coosa County, Alabama",31212,73.0,10387,640.9839816933638
19,"Covington County, Alabama",36444,76.3,37570,271.849593495935
20,"Crenshaw County, Alabama",36022,75.1,13194,370.7537154989385
21,"Cullman County, Alabama",38971,71.6,87866,768.6030204962244
22,"Dale County, Alabama",45028,75.7,49326,329.5437062937063
23,"Dallas County, Alabama",27306,75.8,38462,181.44591346153845
24,"Elmore County, Alabama",53555,74.4,87977,351.1840942562592
25,"Escambia County, Alabama",32330,76.4,36757,190.99551569506727
26,"Etowah County, Alabama",39220,71.9,103436,689.7514231499051
27,"Fayette County, Alabama",34680,72.7,16321,468.9032815198618
28,"Franklin County, Alabama",35372,71.6,32113,729.440489432703
29,"Geneva County, Alabama",36024,76.5,26659,188.8482293423272
30,"Greene County, Alabama",20541,74.1,7730,155.79901960784315
31,"Hale County, Alabama",32714,74.0,14785,198.73887240356083
32,"Henry County, Alabama",41997,75.5,17146,333.10027100271003
33,"Houston County, Alabama",41571,76.5,107202,252.5236406619385
34,"Jackson County, Alabama",37745,70.1,52579,924.3550031867431
35,"Jefferson County, Alabama",45610,73.0,674721,601.0097316425833
36,"Lamar County, Alabama",35450,73.4,13972,388.6614349775785
37,"Lauderdale County, Alabama",43125,72.0,93564,590.131850675139
38,"Lawrence County, Alabama",40003,71.3,33073,664.9627263045793
39,"Lee County, Alabama",44570,72.7,174241,631.405255878285
40,"Limestone County, Alabama",49570,71.1,103570,683.9205366357069
41,"Lowndes County, Alabama",25876,75.9,10311,267.60759493670884
42,"Macon County, Alabama",30738,73.9,19532,361.1281512605042
43,"Madison County, Alabama",57993,71.0,388153,737.6597713663582
44,"Marengo County, Alabama",32042,74.9,19323,172.04006163328197
45,"Marion County, Alabama",32299,71.9,29341,635.6244204018548
46,"Marshall County, Alabama",38983,71.4,97612,845.0809523809523
47,"Mobile County, Alabama",43809,76.7,414809,83.66529209621993
48,"Monroe County, Alabama",27257,76.2,19772,256.50866141732286
49,"Montgomery County, Alabama",44369,75.1,228954,257.6143637782982
50,"Morgan County, Alabama",45751,71.4,123421,693.4425287356322
51,"Perry County, Alabama",24537,74.4,8511,282.39444444444445
52,"Pickens County, Alabama",30330,73.7,19123,257.78197674418607
